IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,Group Block,Group Picked Up,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
10/13/2022,Thu,47,7,33,14,27,7,,,,,33,82.50%,"3,145.57",78.64,95.32,56 / 3
10/14/2022,Fri,47,0,41,14,6,6,,,,,41,87.23%,"3,808.54",81.03,92.89,70 / 8
10/15/2022,Sat,47,0,34,11,18,13,,,,,34,72.34%,"3,286.11",69.92,96.65,56 / 10
10/16/2022,Sun,47,0,26,10,18,21,,,,,26,55.32%,"2,832.37",60.26,108.94,37 / 2
10/17/2022,Mon,47,0,25,13,14,22,,,,,25,53.19%,"3,040.26",64.69,121.61,38 / 0
10/18/2022,Tue,47,0,37,19,7,10,,,,,37,78.72%,"4,129.27",87.86,111.6,58 / 1
10/19/2022,Wed,47,1,40,15,12,6,,,,,40,86.96%,"4,399.60",95.64,109.99,57 / 1
10/20/2022,Thu,47,1,45,16,11,1,,,,,45,97.83%,"4,829.43",104.99,107.32,70 / 3
10/21/2022,Fri,47,1,40,10,15,6,,,,,40,86.96%,"4,303.11",93.55,107.58,69 / 3
10/22/2022,Sat,47,1,41,16,15,5,,,,,41,89.13%,"4,275.13",92.94,104.27,63 / 4
10/23/2022,Sun,47,1,36,12,18,10,,,,,36,78.26%,"3,674.96",79.89,102.08,53 / 4
10/24/2022,Mon,47,1,39,16,12,7,,,,,39,84.78%,"4,330.90",94.15,111.05,58 / 1
10/25/2022,Tue,47,1,29,7,17,17,,,,,29,63.04%,"2,823.11",61.37,97.35,39 / 0
10/26/2022,Wed,47,1,37,14,6,9,,,,,37,80.43%,"3,640.36",79.14,98.39,55 / 0
10/27/2022,Thu,47,0,33,11,15,14,,,,,33,70.21%,"3,106.67",66.1,94.14,49 / 1
10/28/2022,Fri,47,0,40,27,20,7,,,,,40,85.11%,"3,937.88",83.78,98.45,63 / 1
10/29/2022,Sat,47,0,40,14,14,7,,,,,40,85.11%,"3,926.10",83.53,98.15,66 / 1
10/30/2022,Sun,47,0,22,3,21,25,,,,,22,46.81%,"2,124.40",45.2,96.56,34 / 1
10/31/2022,Mon,47,0,16,4,10,31,,,,,16,34.04%,"1,545.25",32.88,96.58,23 / 1
11/1/2022,Tue,47,2,11,4,9,34,,,,,11,24.44%,"1,053.79",23.42,95.8,15 / 0
11/2/2022,Wed,47,2,18,12,5,27,,,,,18,40.00%,"1,783.46",39.63,99.08,25 / 3
11/3/2022,Thu,47,2,15,3,6,30,,,,,15,33.33%,"1,464.53",32.55,97.64,21 / 5
11/4/2022,Fri,47,2,8,2,9,37,,,,,8,17.78%,778.88,17.31,97.36,3-Oct
11/5/2022,Sat,47,2,11,7,4,34,,,,,11,24.44%,"1,209.30",26.87,109.94,18 / 3
11/6/2022,Sun,47,2,9,0,2,36,,,,,9,20.00%,994.66,22.1,110.52,15 / 3
11/7/2022,Mon,47,1,8,4,5,38,,,,,8,17.39%,901.63,19.6,112.7,3-Dec
11/8/2022,Tue,47,1,6,3,5,40,,,,,6,13.04%,527.92,11.48,87.99,Aug-00
11/9/2022,Wed,47,1,11,6,1,35,,,,,11,23.91%,"1,142.07",24.83,103.82,17 / 0
11/10/2022,Thu,47,1,15,10,6,31,,,,,15,32.61%,"1,814.60",39.45,120.97,24 / 0
11/11/2022,Fri,47,1,20,14,9,26,,,,,20,43.48%,"2,065.87",44.91,103.29,34 / 2
11/12/2022,Sat,47,1,22,9,7,24,,,,,22,47.83%,"2,253.29",48.98,102.42,34 / 2
11/13/2022,Sun,47,1,11,5,16,35,,,,,11,23.91%,"1,113.99",24.22,101.27,15 / 0
11/14/2022,Mon,47,1,12,9,8,34,,,,,12,26.09%,"1,156.04",25.13,96.34,19 / 0
11/15/2022,Tue,47,2,23,16,5,22,,,,,23,51.11%,"2,201.86",48.93,95.73,31 / 0
11/16/2022,Wed,47,4,22,13,14,21,,,,,22,51.16%,"2,425.47",56.41,110.25,30 / 0
11/17/2022,Thu,47,4,18,7,11,25,,,,,18,41.86%,"1,825.91",42.46,101.44,24 / 0
11/18/2022,Fri,47,4,13,4,9,30,,,,,13,30.23%,"1,382.42",32.15,106.34,17 / 0
11/19/2022,Sat,47,4,10,4,7,33,,,,,10,23.26%,953.6,22.18,95.36,14 / 0
11/20/2022,Sun,47,4,10,4,4,33,,,,,10,23.26%,852.63,19.83,85.26,Dec-00
11/21/2022,Mon,47,6,9,3,4,32,,,,,9,21.95%,844.26,20.59,93.81,Nov-00
11/22/2022,Tue,47,5,11,5,3,31,,,,,11,26.19%,"1,170.22",27.86,106.38,16 / 0
11/23/2022,Wed,47,5,10,4,5,32,,,,,10,23.81%,986.04,23.48,98.6,17 / 0
11/24/2022,Thu,47,5,14,8,4,28,,,,,14,33.33%,"1,699.49",40.46,121.39,22 / 1
11/25/2022,Fri,47,5,10,4,8,32,,,,,10,23.81%,804.29,19.15,80.43,13 / 0
11/26/2022,Sat,47,4,6,3,7,37,,,,,6,13.95%,427.02,9.93,71.17,Jul-00
11/27/2022,Sun,47,4,5,0,1,38,,,,,5,11.63%,318.02,7.4,63.6,Jun-00
11/28/2022,Mon,47,4,9,7,3,34,,,,,9,20.93%,739.96,17.21,82.22,Dec-00
11/29/2022,Tue,47,4,11,8,6,32,,,,,11,25.58%,985.67,22.92,89.61,14 / 2
11/30/2022,Wed,47,10,9,4,6,28,,,,,9,24.32%,680.14,18.38,75.57,14 / 0
12/1/2022,Thu,47,4,16,10,3,27,,,,,16,37.21%,"1,269.33",29.52,79.33,23 / 0
12/2/2022,Fri,47,4,13,5,8,30,,,,,13,30.23%,934.87,21.74,71.91,20 / 0
12/3/2022,Sat,47,1,13,7,7,33,,,,,13,28.26%,"1,062.36",23.09,81.72,20 / 0
12/4/2022,Sun,47,1,10,3,6,36,,,,,10,21.74%,939.19,20.42,93.92,13 / 0
12/5/2022,Mon,47,2,12,8,6,33,,,,,12,26.67%,894.3,19.87,74.53,19 / 0
12/6/2022,Tue,47,2,15,9,6,30,,,,,15,33.33%,"1,307.78",29.06,87.19,20 / 0
12/7/2022,Wed,47,1,20,10,5,26,,,,,20,43.48%,"1,615.99",35.13,80.8,27 / 0
12/8/2022,Thu,47,1,20,12,12,26,,,,,20,43.48%,"1,625.22",35.33,81.26,27 / 0
12/9/2022,Fri,47,1,16,5,9,30,,,,,16,34.78%,"1,346.53",29.27,84.16,22 / 0
12/10/2022,Sat,47,2,16,7,7,29,,,,,16,35.56%,"1,415.04",31.45,88.44,23 / 0
12/11/2022,Sun,47,2,13,7,10,32,,,,,13,28.89%,"1,094.59",24.32,84.2,19 / 0
12/12/2022,Mon,47,2,20,13,6,25,,,,,20,44.44%,"1,790.05",39.78,89.5,30 / 0
12/13/2022,Tue,47,3,18,8,10,26,,,,,18,40.91%,"1,395.89",31.72,77.55,27 / 0
12/14/2022,Wed,47,5,16,9,11,26,,,,,16,40.48%,"1,401.03",33.36,82.41,24 / 2
12/15/2022,Thu,47,6,15,6,7,26,,,,,15,36.59%,"1,075.14",26.22,71.68,23 / 2
12/16/2022,Fri,47,6,24,18,9,17,,,,,24,58.54%,"2,110.56",51.48,87.94,44 / 4
12/17/2022,Sat,47,6,10,4,18,31,,,,,10,24.39%,847.16,20.66,84.72,17 / 4
12/18/2022,Sun,47,6,8,2,4,33,,,,,8,19.51%,590.44,14.4,73.81,4-Dec
12/19/2022,Mon,47,4,9,5,4,34,,,,,9,20.93%,743.65,17.29,82.63,Nov-00
12/20/2022,Tue,47,4,10,4,3,33,,,,,10,23.26%,881.85,20.51,88.19,14 / 0
12/21/2022,Wed,47,5,5,1,6,37,,,,,5,11.90%,426.45,10.15,85.29,Jun-00
12/22/2022,Thu,47,8,5,4,4,34,,,,,5,12.82%,415.51,10.65,83.1,Aug-00
12/23/2022,Fri,47,8,6,3,2,33,,,,,6,15.38%,441.82,11.33,73.64,Sep-00
12/24/2022,Sat,47,8,8,7,5,31,,,,,8,23.08%,758.77,19.46,84.31,16 / 0
12/25/2022,Sun,47,8,8,2,2,31,,,,,8,20.51%,836.53,21.45,104.57,14 / 2
12/26/2022,Mon,47,10,13,11,6,24,,,,,13,35.14%,"1,210.68",32.72,93.13,21 / 5
12/27/2022,Tue,47,6,15,8,6,26,,,,,15,36.59%,"1,353.98",33.02,90.27,22 / 3
12/28/2022,Wed,47,6,11,4,8,30,,,,,11,26.83%,909.78,22.19,82.71,19 / 1
12/29/2022,Thu,47,7,13,9,7,27,,,,,13,32.50%,"1,039.08",25.98,79.93,20 / 4
12/30/2022,Fri,47,7,19,9,3,21,,,,,19,47.50%,"1,645.16",41.13,86.59,33 / 3
12/31/2022,Sat,47,6,39,24,4,2,,,,,39,95.12%,"3,648.41",88.99,93.55,68 / 3
